Temperature,Humidity,SoilMoisture,Crop,Irrigation_Needed
30.8,73.7,68.9,Rice,No
29.8,71.9,62.2,Rice,No
31.1,73.4,60.9,Rice,No
32.5,81.9,65,Rice,No
29.6,73.5,64.1,Rice,No
29.6,88.5,62.7,Rice,No
32.6,79.6,68.5,Rice,No
31.3,78.3,69.8,Rice,No
29.2,73.9,65.4,Rice,No
30.9,80.4,72.4,Rice,No
29.2,75.1,59.3,Rice,No
29.2,78,64,Rice,No
30.4,88.2,61.4,Rice,No
26.8,77.1,55.7,Rice,No
27.1,82.3,64.6,Rice,No
29.1,74.6,64.4,Rice,No
28.3,77.4,72.6,Rice,No
30.5,84.9,68.2,Rice,No
28.5,74.9,59.9,Rice,No
27.6,85.1,74.3,Rice,No
32.4,80.4,71.1,Rice,No
29.6,75.2,67.9,Rice,No
30.1,80.1,63.9,Rice,No
27.6,81.6,60.2,Rice,No
29.1,80.1,63.1,Rice,No
30.2,71,70.4,Rice,No
28.1,74.5,74.4,Rice,No
30.6,76.5,72.7,Rice,No
29,77.2,62.6,Rice,No
29.5,80.1,59.4,Rice,No
29,78.2,65.7,Rice,No
33.1,71.9,56.2,Rice,No
30,79.1,66.6,Rice,No
28.2,80,64.3,Rice,No
31.4,79.8,62.7,Rice,No
28,82,57,Rice,No
30.3,81,67.6,Rice,No
26.7,79.4,62.3,Rice,No
27.8,77.2,59.2,Rice,No
30.3,70.6,50.6,Rice,No
31.2,79.3,64.9,Rice,No
30.3,78.4,73.9,Rice,No
29.8,78.6,73.3,Rice,No
29.5,72.2,62.7,Rice,No
27.5,73,62,Rice,No
28.8,81.9,67.3,Rice,No
29.2,77.3,60,Rice,No
31.8,80.3,66.5,Rice,No
30.6,77.6,68.8,Rice,No
27.1,77.6,71.1,Rice,No
30.5,81.4,64.5,Rice,No
29.4,75.3,64,Rice,No
28.9,77.9,60.6,Rice,No
31,75.6,60.9,Rice,No
31.7,75.7,63.9,Rice,No
31.6,76.2,66.8,Rice,No
28.6,78.4,69.6,Rice,No
29.5,75.5,61,Rice,No
30.6,82.7,72.5,Rice,No
31.6,73.8,63.6,Rice,No
29.2,76.7,64.9,Rice,No
29.7,75.7,61.3,Rice,No
28.2,83.5,52.9,Rice,No
28,78.3,69.4,Rice,No
31.4,81.8,68.7,Rice,No
32.3,71.3,63.6,Rice,No
